🔵 Conques Internes: 510,423hm³ (màx 694,45 hm3) (73,500%)

🟡 Siurana: 3,145hm³ de 12,22hm³  (25,736%)
🟢 Riudecanyes: 3,178hm³ de 5,32hm³  (59,737%)
🔵 Susqueda: 148,017hm³ de 233,0hm³  (63,527%)
🔵 Darnius Boadella: 41,622hm³ de 61,1hm³  (68,121%)
🔵 Llosa del Cavall: 55,511hm³ de 80,0hm³  (69,389%)
🔵 Sau: 125,702hm³ de 165,26hm³  (76,063%)
🔵 Sant Ponç: 21,814hm³ de 24,38hm³  (89,475%)
🔵 Baells: 107,725hm³ de 109,43hm³  (98,442%)
🔵 Foix: 3,709hm³ de 3,74hm³  (99,171%)
